SerialNumber,Red,Green,Blue,Date,Label
185,1.9313,2.6902,5.4822,2016-Mar-04,PostIRCorrection
186,2.3098,3.2372,5.9427,,Original
186,2.2049,2.9884,6.2445,2016-Mar-31,PreIRCorrection
186,1.9929,2.6963,5.7531,2016-Apr-07,PostIRCorrection
187,2.7289,3.8196,6.858,,Original
187,2.2621,3.0255,6.4119,2016-Mar-11,PreIRCorrection
187,2.2439,2.996,6.2933,2016-Mar-14,PostIRCorrection
188,1.8718,2.5535,4.8444,,Original
188,2.0719,2.7292,5.774,2016-Apr-20,PreIRCorrection
188,2.1201,2.7891,5.782,2016-Apr-25,PostIRCorrection
189,1.8292,2.4068,4.5923,,Original
189,2.0939,2.6459,5.6944,2016-Mar-31,PreIRCorrection
189,2.0148,2.5857,5.5516,2016-Apr-07,PostIRCorrection
190,1.8634,2.4144,4.8677,,Original
190,2.0512,2.5513,5.766,2016-Mar-07,PreIRCorrection
190,2.1313,3.7358,6.8089,2016-Mar-10,PostIRCorrection
191,2.239,3.2627,5.6087,,Original
191,2.1424,2.87,5.8658,2016-Mar-11,PreIRCorrection
191,2.2199,2.9636,6.0063,2016-Mar-14,PostIRCorrection
192,1.8598,2.5029,4.557,,Original
192,2.1368,2.7257,5.6406,2016-Apr-20,PreIRCorrection
192,2.1651,2.7543,5.6606,2016-Apr-25,PostIRCorrection
193,1.8868,2.5,4.6997,,Original
193,2.1603,2.6561,5.9111,2016-Mar-31,PreIRCorrection
193,2.0276,2.6059,5.4724,2016-Apr-07,PostIRCorrection
194,2.3191,3.1708,5.5056,,Original
194,2.263,2.7972,6.1763,2016-Mar-11,PreIRCorrection
194,2.097,2.6265,5.6857,2016-Mar-14,PostIRCorrection
195,2.0295,2.9193,5.0797,,Original
195,2.3724,3.2461,6.4616,2016-Mar-31,PreIRCorrection
195,1.9337,2.5838,5.4789,2016-Apr-07,PostIRCorrection
196,1.841,2.6935,5.1218,,Original
196,2.0663,2.7772,6.2365,2016-Mar-31,PreIRCorrection
196,1.9756,2.7013,5.9097,2016-Apr-07,PostIRCorrection
197,1.8192,2.442,4.556,,Original
197,1.9621,2.6466,5.4018,2016-Mar-07,PreIRCorrection
197,2.1452,2.9455,6.0933,2016-Mar-10,PostIRCorrection
198,2.4069,3.4977,6.2312,,Original
198,2.4253,3.3834,6.7544,2016-Mar-11,PreIRCorrection
198,2.4525,3.4227,6.7643,2016-Mar-14,PostIRCorrection
199,2.2558,2.8854,5.8461,,Original
199,2.2944,2.9105,6.262,2016-Mar-11,PreIRCorrection
